title;album;duration;release;artist;type
40;War;02:38;1983;U2;Rock
Acrobat;Achtung Baby;04:30;1991;U2;Rock
Aesthetics of Hate;The Blackening;	6:30;2007;Machine Head;Trash Metal
A Farewell To Arms;The Blackening;	10:15;2007;Machine Head;Trash Metal
...And Justice for All;...And Justice for All;9:47;1988;Metallica;Heavy Metal
(Anesthesia)-Pulling Teeth;Kill 'Em All;4:15;1983;Metallica;Heavy Metal
Backbone;From Mars to Sirius;4:18;2005;Gojira;Death Metal
Back in Black;Back in Black;	4:16;1980;AC/DC;Hard Rocks
Battery;Master of Puppets;5:13;1986;Metallica;Heavy Metal
Beautiful Mourning;The Blackening;	4:46;2007;Machine Head;Trash Metal
Be Still and Know;Unto The Locust;		5:43;2011;Machine Head;Trash Metal
Blackened;...And Justice for All;6:41;1988;Metallica;Heavy Metal
Bullet the Blue Sky;The Joshua Tree;04:31;1987; U2;Rock
Cemetery Gates;Cowboys from Hell;7:03;1990;Pantera;Metal
Clash with Reality;Cowboys from Hell;5:15;1990;Pantera;Metal
Clenching the Fists of Dissent;The Blackening;10:36;2007;Machine Head;Trash Metal
Cowboys from Hell;Cowboys from Hell;4:06;1990;Pantera;Metal
Damage, Inc;Master of Puppets;5:32;1986;Metallica;Heavy Metal
Darkness Within;Unto The Locust;		6:21;2011;Machine Head;Trash Metal
Disposable Heroes;Master of Puppets;8:17;1986;Metallica;Heavy Metal
Domination;Cowboys from Hell;5:02;1990;Pantera;Metal
Drowning Man;War;04:14;1983;U2;Rock
Dyers Eve;...And Justice for All;5:13;1988;Metallica;Heavy Metal
Even Better Than the Real Thing;Achtung Baby;03:41;1991;U2;Rock
Exit;The Joshua Tree;04:13;1987; U2;Rock
Eye of the Beholder;...And Justice for All;6:30;1988;Metallica;Heavy Metal
Flying Whales;From Mars to Sirius;7:44;2005;Gojira;Death Metal
From Mars;From Mars to Sirius;2:24;2005;Gojira;Death Metal
From the Sky;From Mars to Sirius;5:48;2005;Gojira;Death Metal
Givin the Dog a Bone;Back in Black;	3:33;1980;AC/DC;Hard Rocks
Global Warming;From Mars to Sirius;7:50;2005;Gojira;Death Metal
Halo;The Blackening;	9:03;2007;Machine Head;Trash Metal
Harvester of Sorrow;...And Justice for All;5:46;1988;Metallica;Heavy Metal
Have a Drink on Me;Back in Black;	3:58;1980;AC/DC;Hard Rocks
Hells Bells;Back in Black;	5:12;1980;AC/DC;Hard Rocks
Heresy;Cowboys from Hell;4:45;1990;Pantera;Metal
Hit the Lights;Kill 'Em All;4:17;1983;Metallica;Heavy Metal
I Am Hell (Sonata in C#);Unto The Locust;	8:24;2011;Machine Head;Trash Metal
In God's Country;The Joshua Tree;02:56;1987; U2;Rock
In the Wilderness;From Mars to Sirius;7:47;2005;Gojira; Death Metal
I Still Haven't Found What I'm Looking For;The Joshua Tree;04:37;1987; U2;Rock
Jump in the Fire;Kill 'Em All;4:42;1983;Metallica;Heavy Metal
Leper Messiah;Master of Puppets;5:40;1986;Metallica;Heavy Metal
Let Me Put My Love into You;Back in Black;	4:16;1980;AC/DC;Hard Rocks
Like a Song...;War;04:47;1983;U2;Rock
Locust;Unto The Locust;		7:38;2011;Machine Head;Trash Metal
Love is Blindness;Achtung Baby;04:23;1991;U2;Rock
Master of Puppets;Master of Puppets;8:35;1986;Metallica;Heavy Metal
Medicine Man;Cowboys from Hell;5:15;1990;Pantera;Metal
Message in Blood;Cowboys from Hell;5:09;1990;Pantera;Metal
Metal Militia;Kill 'Em All;5:11;1983;Metallica;Heavy Metal
Mothers of the Disappeared;The Joshua Tree;05:12;1987; U2;Rock
Motorbreath;Kill 'Em All;1983;3:08;Metallica;Heavy Metal
Mysterious Ways;Achtung Baby;04:03;1991;U2;Rock
New Year's Day;War;05:35;1983;U2;Rock
No Remorse;Kill 'Em All;6:27;1983;Metallica;Heavy Metal
Now I Lay Thee Down;The Blackening;	5:34;2007;Machine Head;Trash Metal
Ocean Planet;From Mars to Sirius;5:32;2005;Gojira;Death Metal
One;...And Justice for All;7:27;1988;Metallica;Heavy Metal
One;Achtung Baby;04:36;1991;U2;Rock
One Tree Hill;The Joshua Tree;05:22;1987; U2;Rock
Orion (instrumental);Master of Puppets;8:27;1986;Metallica;Heavy Metal
Pearls Before the Swine;Unto The Locust;		7:18;2011;Machine Head;Trash Metal
Phantom Lord;Kill 'Em All;5:02;1983;Metallica;Heavy Metal
Primal Concrete Sledge;Cowboys from Hell;2:13;1990;Pantera;Metal
Psycho Holiday;Cowboys from Hell;5:19;1990;Pantera;Metal
Red Hill Mining Town;The Joshua Tree;04:53;1987; U2;Rock
Red Light;War;03:46;1983;U2;Rock
Rock and Roll Ain't Noise Pollution;Back in Black;	4:16;1980;AC/DC;Hard Rocks
Running to Stand Still;The Joshua Tree;04:17;1987; U2;Rock
Seconds;War;03:11;1983;U2;Rock
Seek & Destroy;Kill 'Em All;6:56;1983;Metallica;Heavy Metal
Shake a Leg;Back in Black;	4:06;1980;AC/DC;Hard Rocks
Shattered;Cowboys from Hell;3:21;1990;Pantera;Metal
Shoot to Thrill;Back in Black;	5:17;1980;AC/DC;Hard Rocks
Slanderous;The Blackening;	5:16;2007;Machine Head;Trash Metal
So Cruel;Achtung Baby;05:49;1991;U2;Rock
Sunday Bloody Sunday;War;04:39;1983;U2;Rock
Surrender;War;05:34;1983;U2;Rock
The Art of Shredding;Cowboys from Hell;4:16;1990;Pantera;Metal
The Fly;Achtung Baby;04:29;1991;U2;Rock
The Four Horsemen;Kill 'Em All;7:13;1983;Metallica;Heavy Metal
The Frayed Ends of Sanity;...And Justice for All;7:44;1988;Metallica;Heavy Metal
The Heaviest Matter of the Universe;From Mars to Sirius;3:57;2005;Gojira;Death Metal
The Refugee;War;03:41;1983;U2;Rock
The Shortest Straw;...And Justice for All;6:36;1988;Metallica;Heavy Metal
The Sleep;Cowboys from Hell;5:47;1990;Pantera;Metal
The Thing That Should Not Be;Master of Puppets;6:36;1986;Metallica;Heavy Metal
This is the End;Unto The Locust;		6:10;2011;Machine Head;Trash Metal
To Live Is to Die;...And Justice for All;9:49;1988;Metallica;Heavy Metal
To Sirius;From Mars to Sirius;5:37;2005;Gojira; Death Metal
Trip Through Your Wires;The Joshua Tree;03:32;1987; U2;Rock
Tryin' to Throw Your Arms Around the World;Achtung Baby;03:52;1991;U2;Rock
Two Hearts Beat as One;War;04:03;1983;U2;Rock
Ultra Violet (Light My Way);Achtung Baby;05:30;1991;U2;Rock
Unicorn (instrumental);From Mars to Sirius;2:09;2005;Gojira;Death Metal
Until the End of the World;Achtung Baby;04:38;1991;U2;Rock
Welcome Home (Sanitarium);Master of Puppets;6:27;1986;Metallica;Heavy Metal
What Do You Do for Money Honey;Back in Black;	3:37;1980;AC/DC;Hard Rocks
Where Dragons Dwell;From Mars to Sirius;6:54;2005;Gojira;Death Metal
Where the Streets Have No Name;The Joshua Tree;05:37;1987; U2;Rock
Whiplash;Kill 'Em All;4:09;1983;Metallica;Heavy Metal
Who's Gonna Ride Your Wild Horses;Achtung Baby;05:16;1991;U2;Rock
Who We Are;Unto The Locust;	7:07;2011;Machine Head;Trash Metal
With or Without You;The Joshua Tree;04:55;1987; U2;Rock
Wolves;The Blackening;	9:02;2007;Machine Head;Trash Metal
World to Come;From Mars to Sirius;6:52;2005;Gojira;Death Metal
You Shook Me All Night Long;Back in Black;	3:32;1980;AC/DC;Hard Rocks
Zoo Station;Achtung Baby;04:36;1991;U2;Rock
